Age,Annual_Income,Loan_Amount,Years_Employed,Dependents,Credit_History,Risk_Flag
38,99244,28188,13,2,Yes,0
19,79860,23993,28,2,Yes,0
44,135437,39634,23,0,Yes,0
41,136519,17775,39,2,Yes,0
51,36603,22983,32,1,No,1
39,135209,10850,8,2,Yes,0
53,148359,23257,11,2,Yes,0
33,24646,35510,4,2,Yes,1
56,59419,13554,11,3,Yes,0
41,53064,30675,22,3,Yes,0
43,23212,47479,15,3,No,1
62,113018,24470,10,3,Yes,0
24,53387,33886,14,2,Yes,0
42,140348,39945,31,1,Yes,0
64,141574,4205,19,3,Yes,0
26,134476,48553,30,4,Yes,0
32,94495,20861,21,3,Yes,0
52,67857,38334,18,4,Yes,0
60,40968,22677,27,4,Yes,0
26,39523,43503,8,0,No,1
40,138810,13718,35,4,Yes,0
23,92322,26532,32,4,Yes,0
60,47740,10157,32,1,Yes,0
25,23992,36637,10,0,Yes,1
35,40754,14472,29,0,Yes,0
37,122449,1638,4,1,Yes,0
43,96289,41111,13,4,Yes,0
28,44102,31477,22,4,No,1
51,114415,22624,33,3,Yes,0
29,121248,45751,39,0,Yes,0
48,105211,3202,33,2,Yes,0
38,72168,33476,5,3,Yes,0
44,95166,31720,7,1,Yes,0
29,35704,3674,10,0,Yes,0
27,97430,11847,37,1,Yes,0
39,27960,32821,8,1,No,1
18,53001,11129,18,0,Yes,0
44,54370,36736,14,4,Yes,0
37,117158,34922,12,2,No,0
29,73251,39909,4,2,No,1
43,148068,8855,3,3,Yes,0
46,93366,6279,38,2,No,0
31,60985,8436,24,4,Yes,0
40,31109,20947,37,0,Yes,0
49,143221,26692,14,0,Yes,0
51,106479,11487,2,3,Yes,0
55,116798,12844,4,4,Yes,0
26,94248,1766,4,3,Yes,0
50,96733,46487,35,2,Yes,0
61,125894,41888,4,0,Yes,0
62,33311,1131,1,4,Yes,1
24,23810,35245,35,1,Yes,1
33,33882,33795,14,4,Yes,1
18,111354,3919,39,0,Yes,0
34,44194,13167,0,0,Yes,0
50,61576,11461,31,2,Yes,0
38,20634,47214,19,2,Yes,1
54,114488,31129,30,4,Yes,0
36,26984,27135,7,3,No,1
37,112202,6620,23,1,Yes,0
30,21949,26221,36,1,No,1
51,27410,35514,27,1,No,1
24,68217,33143,14,2,No,1
58,124565,8585,37,1,Yes,0
62,56723,25809,29,2,No,0
59,34908,30024,13,3,Yes,0
55,37384,40091,29,4,No,1
45,134306,38972,10,2,Yes,0
47,90423,32516,14,3,No,1
25,129249,19540,24,2,Yes,0
50,65761,23881,5,1,No,0
35,92812,5025,6,1,Yes,0
48,125299,26399,37,3,Yes,0
23,53939,29325,39,1,No,0
41,38316,48576,4,2,Yes,1
35,73806,21325,12,0,Yes,0
35,72669,15602,7,4,Yes,0
41,55568,8453,29,1,Yes,0
50,31741,3415,34,2,Yes,0
35,111610,43559,20,1,Yes,0
57,61723,4582,24,4,Yes,0
39,26026,31951,11,4,Yes,1
28,76586,4302,28,3,Yes,0
59,140288,44910,39,3,Yes,0
56,135228,25054,34,3,No,0
43,145627,8259,22,3,Yes,0
56,133659,9826,21,2,Yes,0
28,71801,47225,36,1,No,1
21,51510,29394,5,1,Yes,0
59,129588,15687,1,1,Yes,0
39,62595,49702,36,4,Yes,0
47,92793,7773,6,0,Yes,0
48,29476,11108,10,2,Yes,0
25,124946,24907,22,2,Yes,0
47,43382,26966,16,4,Yes,0
30,76503,11300,4,4,Yes,0
25,89812,13247,12,2,No,0
50,50194,10993,16,0,No,0
38,106129,15410,36,1,Yes,0
46,30431,10874,14,0,No,1
44,78065,36500,30,4,No,1
45,114334,21967,18,2,Yes,0
59,149670,45628,14,2,Yes,0
41,24747,28909,0,3,Yes,1
53,71534,19128,9,3,Yes,0
41,42185,12830,9,4,Yes,0
30,124132,43218,10,0,Yes,0
24,86084,27091,0,0,Yes,0
41,135691,4621,38,0,No,0
27,30306,13992,25,2,No,1
43,28524,43738,38,4,Yes,1
36,124451,12021,39,1,Yes,0
33,21754,32795,12,4,Yes,1
64,129668,1552,9,1,Yes,0
31,68785,30854,15,4,Yes,0
40,134217,8750,13,4,Yes,0
30,63563,43974,25,2,Yes,0
54,27919,37870,8,1,Yes,1
37,140627,18184,39,4,Yes,0
27,127071,36879,4,2,Yes,0
30,31322,5527,19,3,Yes,0
56,26473,14622,16,4,Yes,0
22,37629,28780,37,3,No,1
25,74240,40893,2,4,No,1
61,72879,37065,6,3,Yes,0
60,44281,3781,12,0,Yes,0
52,26553,6693,18,0,No,1
55,40557,26634,6,1,Yes,0
32,90631,3316,33,2,Yes,0
41,120061,39653,21,4,Yes,0
64,77042,33643,29,0,No,1
57,148404,6193,4,0,Yes,0
49,94095,1975,27,0,Yes,0
41,37959,8550,25,2,Yes,0
62,23691,2780,22,4,Yes,0
23,20916,41950,5,0,No,0
26,135447,39692,3,1,Yes,0
54,44892,25934,30,0,Yes,0
38,32703,28786,16,4,Yes,0
18,143649,4652,20,2,Yes,0
52,102335,29794,7,4,Yes,0
59,146381,6516,18,1,Yes,0
28,71222,25827,10,2,Yes,0
46,74583,42412,23,1,Yes,0
36,49545,32952,31,4,Yes,0
40,71052,8802,5,1,Yes,0
23,84331,14704,20,4,Yes,0
31,113249,47894,15,4,Yes,0
32,75264,7125,18,4,Yes,0
28,128245,29758,27,2,Yes,0
34,122566,49470,35,2,Yes,0
54,123946,31587,38,1,No,1
40,149156,47998,20,4,Yes,0
53,61721,6312,28,2,Yes,0
64,82112,32321,30,4,Yes,0
37,42161,10092,8,2,Yes,0
34,134614,23539,12,1,Yes,0
53,149303,13437,5,3,Yes,0
33,148219,32591,26,4,Yes,0
55,110332,45844,6,3,Yes,0
52,77797,22959,11,0,Yes,0
28,74437,30178,7,2,Yes,0
52,100015,3068,22,4,Yes,0
44,109363,22863,15,1,Yes,0
52,30567,10554,3,4,Yes,0
28,52646,8582,33,2,No,0
64,97089,19313,24,3,Yes,0
25,43365,16007,15,2,No,0
36,42488,16058,29,1,Yes,0
28,70621,7298,26,0,Yes,0
36,86483,49588,14,4,Yes,0
58,139409,31636,38,0,Yes,0
29,82695,41888,20,2,Yes,0
53,102630,13816,13,3,Yes,0
31,49605,17285,32,2,Yes,0
30,45117,15781,13,0,Yes,0
19,138446,15860,16,1,Yes,0
52,82796,45838,28,3,No,1
22,90153,21778,36,3,No,0
63,45651,6616,20,3,Yes,0
53,80071,45917,32,4,Yes,0
58,127954,47408,21,4,Yes,0
26,65924,31341,15,4,Yes,0
25,123917,38233,36,3,Yes,0
25,56169,35984,33,0,Yes,0
23,91458,30179,7,0,Yes,0
48,69625,15070,12,0,Yes,0
20,94258,36854,9,3,Yes,0
36,73813,24382,5,0,Yes,0
43,135194,45179,14,2,Yes,0
52,102636,10483,30,3,Yes,0
18,71925,35236,16,4,Yes,0
42,81142,8019,12,1,Yes,0
36,116059,33227,28,1,Yes,0
31,118651,29333,38,1,No,0
20,105677,44738,22,4,Yes,0
50,108112,45232,38,1,No,1
37,24297,20968,18,2,Yes,0
23,141401,46858,19,2,Yes,0
31,140385,18661,19,3,Yes,0
33,81877,29250,14,0,Yes,0
46,132696,43240,8,4,No,1
36,21245,49225,24,2,Yes,1
47,142512,48277,0,4,Yes,1
63,88578,31365,3,0,No,1
64,37358,35442,34,1,No,1
64,28698,2702,21,4,Yes,0
54,149043,23102,9,2,Yes,0
51,63147,42556,36,3,Yes,0
54,125576,21328,15,0,No,0
20,28724,27261,24,1,Yes,0
39,140283,36785,1,0,Yes,1
33,103654,6587,15,1,Yes,0
43,123134,46950,14,4,No,1
50,48490,18332,15,1,Yes,0
26,119129,6049,23,0,Yes,0
37,132713,36606,31,1,Yes,0
48,23952,3844,39,3,Yes,0
56,112554,2320,12,2,Yes,0
50,82509,14635,1,1,Yes,0
29,39340,6811,25,0,Yes,0
21,141164,22432,38,4,Yes,0
59,23841,46913,34,2,No,1
32,66300,21491,6,4,Yes,0
55,148140,34326,18,2,Yes,0
51,93545,21739,37,3,No,0
27,114003,11316,28,4,Yes,0
18,23936,7586,20,1,Yes,0
57,132684,44786,0,2,Yes,1
27,54312,15633,13,1,No,0
32,88259,1570,30,3,Yes,0
49,147521,48577,36,3,Yes,0
54,143240,21121,18,0,Yes,0
31,92197,36665,10,4,Yes,0
53,86635,22777,30,4,Yes,0
33,127157,2868,11,1,Yes,0
59,149537,13523,13,4,Yes,0
18,141543,31030,17,0,Yes,0
53,123107,23641,12,3,Yes,0
33,127012,37476,25,4,Yes,0
49,68926,27445,10,0,No,0
21,21885,27916,8,2,Yes,0
54,67498,34688,27,3,Yes,0
57,126759,25766,10,4,Yes,0
60,118833,42093,8,4,Yes,0
53,30683,24586,30,2,Yes,0
22,22631,14283,26,0,Yes,0
41,101720,29500,21,3,Yes,0
44,61230,41824,16,4,No,1
39,29290,23804,3,0,No,1
21,60969,18809,21,0,Yes,0
62,127116,12330,6,4,No,0
19,115028,22961,22,3,Yes,0
44,47097,13626,14,4,Yes,0
59,51949,25718,2,2,Yes,0
58,135063,17756,33,4,Yes,0
62,72331,6247,33,2,No,0
48,142834,19423,1,4,Yes,0
56,29675,47783,32,4,No,1
40,118635,47390,6,2,Yes,0
34,50104,4689,2,3,Yes,0
23,71869,27528,15,4,Yes,0
63,96749,19196,14,0,No,0
34,143737,28220,3,4,Yes,0
31,121326,3910,13,1,Yes,0
53,120441,6025,11,4,No,0
19,79784,6368,17,0,Yes,0
22,63610,8782,18,0,Yes,0
19,66930,33103,35,3,Yes,0
50,60138,19288,25,0,Yes,0
35,81401,14083,0,3,Yes,0
62,108207,15834,34,0,Yes,0
55,76241,23601,24,4,Yes,0
63,55561,31771,18,1,Yes,0
19,24027,14768,1,3,No,0
62,118303,23482,32,4,Yes,0
18,137409,2499,28,3,No,0
64,126331,39079,31,2,Yes,0
59,145327,30011,26,4,Yes,0
31,131654,42581,32,2,Yes,0
46,80180,21681,15,4,Yes,0
24,43874,15450,20,4,Yes,0
36,66902,44283,18,2,Yes,0
36,25375,40713,33,2,Yes,1
49,40939,25515,0,3,Yes,0
58,97755,35076,15,3,Yes,0
43,37153,7458,39,1,No,1
49,32569,25222,39,4,Yes,0
56,99865,2809,1,2,No,0
36,68542,18694,15,3,Yes,0
48,54954,26597,39,3,Yes,0
35,136585,25232,24,1,Yes,0
61,30222,40698,31,2,No,1
64,58699,25668,3,4,Yes,0
40,95583,7881,9,4,Yes,0
58,36668,14795,37,2,Yes,0
51,136387,48838,17,4,Yes,0
54,54600,45277,35,4,Yes,0
63,91591,31441,17,1,Yes,0
36,111820,40074,36,3,Yes,0
59,76893,23233,3,2,Yes,0
26,98382,9945,3,4,No,0
41,92790,15823,13,3,No,0
51,61300,27571,18,1,Yes,0
35,138728,46640,6,1,Yes,0
33,49072,13920,11,4,Yes,0
39,110418,19429,7,0,Yes,0
21,100224,43305,19,4,Yes,0
37,118475,23849,21,1,Yes,0
19,21617,48930,27,0,Yes,1
32,42923,43196,7,0,Yes,0
34,141831,35512,17,4,No,1
32,75685,43565,17,0,Yes,0
61,109241,23759,4,0,Yes,0
53,120970,38832,7,1,No,1
59,141682,8081,18,0,Yes,0
62,70624,1968,27,3,No,0
38,85037,38329,18,4,Yes,0
56,24090,2745,6,3,Yes,0
19,101512,33141,2,1,Yes,0
58,33541,37442,33,0,Yes,1
18,63013,14350,16,3,Yes,0
50,29004,44062,11,2,Yes,1
48,129394,21653,28,4,Yes,0
26,126471,49101,10,3,Yes,0
41,100720,38790,38,2,No,1
29,143757,22264,30,1,Yes,0
28,144468,15760,6,4,Yes,0
64,133838,18330,33,1,Yes,0
23,43395,31124,31,2,Yes,0
51,90461,49671,37,2,Yes,0
34,106760,47543,0,0,Yes,1
48,20533,17037,38,3,No,1
24,142089,14502,38,3,Yes,0
31,118412,5470,36,4,Yes,0
26,58623,17128,7,1,Yes,0
50,136342,18333,9,3,Yes,0
55,90819,11844,24,2,No,0
18,81032,28397,12,0,No,0
26,45595,35082,35,4,No,1
30,92571,12394,8,2,Yes,0
47,124733,16993,30,0,Yes,0
28,62299,29467,25,3,Yes,0
38,98743,22873,17,2,No,0
26,138000,11101,32,0,No,0
26,78643,19280,10,2,Yes,0
56,139404,22972,25,0,No,0
25,49714,22700,17,2,Yes,0
56,67994,28973,13,4,Yes,0
51,142366,3783,16,4,No,0
35,124268,28138,0,2,No,1
24,70658,23006,26,0,No,0
22,113767,27578,1,3,Yes,0
52,137725,25408,5,4,Yes,0
53,128590,37942,28,3,Yes,0
21,49722,49047,18,3,Yes,0
18,148116,24031,29,3,Yes,0
48,43384,6983,14,2,Yes,0
56,119290,7499,35,4,Yes,0
51,85158,21997,22,2,Yes,0
63,103391,3381,4,4,Yes,0
61,41446,11691,35,1,Yes,0
25,35174,7287,8,3,Yes,0
33,90229,2915,11,2,Yes,0
21,96586,9922,24,0,Yes,0
55,122619,46015,11,0,Yes,0
54,79155,43653,7,3,Yes,0
63,76815,5874,10,0,Yes,0
26,130771,38873,13,2,Yes,0
42,67910,6597,31,0,Yes,0
56,67774,5371,4,4,Yes,0
25,33739,7243,13,0,Yes,0
36,90320,41920,0,3,Yes,1
40,69632,4569,20,4,Yes,0
55,82709,43837,20,0,Yes,0
31,109751,33161,14,1,Yes,0
38,137693,27817,7,1,Yes,0
40,144478,45220,4,1,Yes,0
25,50473,14427,0,0,Yes,0
19,72979,22589,0,4,Yes,0
63,132004,4205,39,0,No,0
54,115385,41363,38,1,Yes,0
31,42333,40998,13,2,No,1
59,124496,20053,11,3,Yes,0
26,40323,24266,11,3,Yes,0
25,67387,26720,6,3,Yes,0
48,99794,16863,2,0,Yes,0
28,64324,33874,27,4,Yes,0
51,117012,45655,7,4,Yes,0
23,25385,15268,35,0,Yes,0
28,53959,22079,20,1,Yes,0
34,20366,14176,0,3,Yes,1
45,125301,20622,20,1,Yes,0
56,113659,14350,8,4,Yes,0
54,80252,31131,13,4,No,1
32,124775,26532,10,3,No,0
26,52419,25318,2,4,Yes,0
23,108747,45131,20,2,Yes,0
62,111951,47981,38,2,Yes,0
18,59426,40451,37,0,No,1
29,49204,38443,11,0,No,1
39,54296,24952,20,1,No,0
62,149031,48907,20,0,Yes,0
64,96579,28281,12,2,Yes,0
39,28302,17967,13,4,Yes,0
41,79331,3843,26,3,No,0
47,62448,47723,22,2,Yes,0
62,25302,37192,15,1,Yes,1
56,33065,10718,38,4,Yes,0
23,37883,18424,26,1,Yes,0
47,72328,10131,3,0,No,0
42,86198,11000,38,2,Yes,0
28,28733,14346,20,2,No,1
44,93616,49359,1,4,Yes,1
62,42631,27878,9,3,Yes,0
39,63225,24168,21,3,Yes,0
38,58725,5166,5,1,Yes,0
40,50215,16904,37,2,No,0
30,107844,36474,12,2,Yes,0
22,70460,30341,9,3,Yes,0
30,28108,25401,34,1,No,1
64,52624,45288,23,0,Yes,0
39,84226,42983,15,4,Yes,0
37,118228,32672,22,4,Yes,0
53,129382,48163,13,2,Yes,0
25,75186,40916,16,0,Yes,0
37,136004,29950,33,3,Yes,0
39,135784,39520,16,1,Yes,0
56,35916,21547,14,2,Yes,0
54,96853,16128,27,1,Yes,0
34,60134,14613,14,4,Yes,0
27,57890,5118,39,2,Yes,0
57,103697,46909,20,3,Yes,0
56,47916,22125,11,1,Yes,0
46,138099,22645,28,3,Yes,0
36,109723,6061,2,1,Yes,0
34,109447,33591,32,3,No,1
28,67801,23211,3,4,Yes,0
22,120647,31349,2,4,Yes,0
52,57134,9291,3,0,Yes,0
30,24761,4742,19,0,Yes,0
50,149554,24170,30,4,Yes,0
40,48173,29602,30,0,Yes,0
29,125977,36391,15,3,No,1
23,51250,13588,14,4,Yes,0
34,105053,30379,30,0,Yes,0
42,129832,18507,30,3,Yes,0
51,29745,11352,7,3,Yes,0
53,51253,24898,39,3,Yes,0
42,65592,28937,4,2,Yes,0
46,83910,31653,13,1,Yes,0
35,46998,16847,14,3,Yes,0
48,49754,24684,22,0,Yes,0
51,59080,23580,17,4,Yes,0
45,127036,28608,32,2,No,0
57,146031,7066,20,1,Yes,0
40,24960,49781,39,3,Yes,0
53,121387,42773,36,4,Yes,0
26,106649,10218,5,3,Yes,0
63,61150,1826,33,1,Yes,0
46,61615,38078,33,2,Yes,0
39,22853,10449,6,0,Yes,0
32,124875,8733,39,4,Yes,0
57,72158,48143,12,1,Yes,0
18,60533,1424,8,2,No,0
28,30534,1856,8,0,Yes,0
54,69950,38780,27,3,Yes,0
34,33890,14691,6,3,Yes,0
54,137919,39207,34,1,Yes,0
28,54889,29090,25,0,Yes,0
30,53370,15887,21,3,Yes,0
26,51368,23065,21,1,Yes,0
25,93229,49797,25,4,No,1
21,20048,17737,37,2,Yes,0
24,40662,30655,26,2,Yes,0
18,148938,15980,11,4,Yes,0
32,120364,45067,12,2,Yes,0
49,112498,46562,29,0,No,1
61,130724,38377,31,2,Yes,0
59,30060,25591,9,0,Yes,0
31,109606,9787,37,0,Yes,0
32,143795,12328,30,3,Yes,0
60,93228,26992,11,4,Yes,0
34,60983,30559,3,3,Yes,0
41,118718,36069,18,3,Yes,0
47,131321,33503,32,1,Yes,0
64,110510,25698,27,1,Yes,0
22,54012,38555,22,2,Yes,0
62,93758,4671,38,2,Yes,0
47,85308,13713,6,2,Yes,0
26,55892,21407,35,1,Yes,0
26,37184,17639,5,1,Yes,0
46,127145,30400,31,2,Yes,0
31,119329,31609,0,3,Yes,1
40,42740,4567,19,1,No,0
50,38693,5225,12,3,Yes,0
56,26764,34575,31,0,Yes,1
63,80692,31941,3,3,No,1
48,149651,11607,26,1,No,0
42,138368,36561,19,0,Yes,0
49,110964,40913,3,1,No,1
39,75420,48831,17,2,Yes,0
56,100291,39913,29,0,Yes,0
18,103608,34055,16,0,Yes,0
21,62875,2577,36,4,Yes,0
30,71312,23158,7,0,Yes,0
40,85350,46828,37,3,No,1
20,118315,40585,23,0,Yes,0
43,123345,30814,32,2,Yes,0
28,35419,27420,36,0,Yes,0
51,99810,45488,18,4,Yes,0
52,92577,15999,7,3,Yes,0
34,88232,1467,14,3,Yes,0
24,142202,17893,26,2,Yes,0
42,104303,7376,4,1,Yes,0
53,61783,45929,13,0,Yes,0
25,41683,48297,37,4,Yes,0
59,79696,34993,9,3,Yes,0
45,103063,47348,33,3,Yes,0
29,114025,23743,3,1,Yes,0
37,70355,38185,7,1,No,1
55,53957,10602,16,1,Yes,0
39,115295,34922,11,4,Yes,0
18,77623,41733,26,3,Yes,0
49,134548,5698,12,0,Yes,0
28,108901,6617,35,2,Yes,0
22,105843,6166,31,0,Yes,0
23,43021,1969,20,3,Yes,0
35,64563,31025,0,3,Yes,1
57,73664,37965,9,1,No,1
64,93414,28182,11,1,Yes,0
62,47315,14079,10,3,No,0
45,56365,4255,14,4,Yes,0
57,145284,16723,11,2,No,0
30,92322,8384,32,2,Yes,0
56,96310,32656,8,2,No,1
64,95060,31480,10,3,Yes,0
30,51323,5803,33,3,Yes,0
49,90258,47871,19,3,Yes,0
55,74691,12663,35,3,No,0
39,69086,4133,28,4,Yes,0
40,29428,30461,14,4,Yes,1
46,149233,40357,18,2,No,1
41,31161,5682,12,2,Yes,0
49,105504,9222,3,0,No,0
62,74160,33793,38,0,Yes,0
20,121846,38083,26,2,Yes,0
41,43404,17477,2,2,No,0
44,93567,25099,37,3,Yes,0
43,135265,35022,29,3,Yes,0
32,107073,21085,1,0,No,1
56,146279,5789,25,3,No,0
42,34568,43089,21,2,Yes,1
32,136445,10443,14,3,Yes,0
42,86793,31819,7,4,Yes,0
39,147699,39686,35,4,No,1
20,24150,23056,11,4,Yes,0
29,122666,16309,10,4,Yes,0
26,49986,9418,35,2,Yes,0
57,109314,9411,29,2,Yes,0
54,68817,49348,31,0,Yes,0
37,31882,32681,18,2,Yes,1
57,67361,9598,10,4,Yes,0
41,127508,27888,3,1,No,0
47,131177,13822,15,3,No,0
58,78513,24066,30,0,Yes,0
33,25241,34337,31,3,Yes,1
59,143425,3170,28,4,Yes,0
33,71003,37827,29,3,Yes,0
56,131151,20283,19,2,Yes,0
52,96639,10825,4,0,Yes,0
36,76313,1881,12,2,No,0
62,32856,18945,17,0,No,1
52,86558,15455,5,3,Yes,0
34,32419,26099,28,0,Yes,0
56,88754,11983,25,3,Yes,0
48,132753,24902,17,2,Yes,0
52,106130,38953,14,3,No,1
31,28080,4975,7,3,Yes,0
27,97007,7622,16,2,Yes,0
60,39622,12057,24,0,Yes,0
54,84791,19089,17,1,Yes,0
39,60078,47257,34,1,No,1
31,27758,12403,8,3,Yes,0
23,133394,2273,28,3,Yes,0
52,29628,11382,34,2,Yes,0
52,78597,47656,25,3,Yes,0
29,93757,30949,23,3,Yes,0
49,107561,36682,30,3,Yes,0
41,82873,43481,27,3,Yes,0
29,131116,46621,17,4,Yes,0
32,104437,47381,35,1,Yes,0
18,47207,16029,28,4,Yes,0
58,125902,40235,22,0,Yes,0
35,145277,29760,25,3,Yes,0
32,24522,26460,37,0,Yes,0
38,41494,36702,37,2,No,1
50,60324,15199,14,3,Yes,0
54,138294,5094,28,3,Yes,0
42,95937,48941,9,0,Yes,0
29,130034,36919,15,1,No,1
45,138243,25791,4,2,Yes,0
32,101455,22364,0,3,No,1
38,67993,1238,32,1,Yes,0
41,56948,1615,28,1,No,0
41,98108,29355,36,3,Yes,0
55,104326,48301,36,2,No,1
57,70908,17959,16,1,Yes,0
52,21883,15297,27,4,Yes,0
59,108284,5782,38,3,Yes,0
20,107889,1958,0,1,Yes,0
26,109007,26545,37,2,Yes,0
53,104216,37734,38,3,Yes,0
49,126637,49469,12,1,Yes,0
56,58502,18386,7,1,Yes,0
29,124998,10864,10,0,No,0
58,132557,34645,5,3,Yes,0
50,47278,31348,33,3,No,1
59,141062,21810,2,3,Yes,0
32,29290,4537,0,2,Yes,1
49,80032,42400,36,3,Yes,0
37,86258,24390,33,0,Yes,0
61,46485,41409,14,3,Yes,0
58,111043,2835,21,0,Yes,0
64,76174,41285,26,1,Yes,0
61,25267,19640,29,3,Yes,0
51,123462,8045,39,3,Yes,0
57,113847,10355,29,3,Yes,0
41,101067,12630,12,2,Yes,0
49,85363,30144,4,4,No,1
59,119599,36906,23,1,Yes,0
40,26630,5013,12,2,Yes,0
47,87509,13670,31,1,Yes,0
54,41183,41645,12,2,Yes,0
54,106787,12864,4,4,Yes,0
45,115072,8826,9,4,No,0
22,38907,4411,24,1,Yes,0
23,75773,33161,26,0,Yes,0
64,90507,14213,20,2,Yes,0
36,123955,16803,38,0,No,0
25,79660,12440,19,3,Yes,0
38,39336,29295,4,2,No,1
38,62548,47150,31,1,Yes,0
53,22473,39469,12,1,Yes,1
49,22389,9325,10,4,Yes,0
58,74240,36466,4,0,Yes,0
49,109557,23418,13,0,Yes,0
20,131210,49513,26,1,Yes,0
51,114182,27648,18,2,Yes,0
24,135518,15689,37,3,Yes,0
59,32454,24224,23,3,Yes,0
41,44575,38880,27,1,Yes,0
32,116226,43331,27,3,No,1
50,31173,24908,26,3,Yes,0
20,77920,30394,8,0,Yes,0
50,67632,7229,6,0,Yes,0
36,125449,42997,7,4,Yes,0
18,64322,7121,34,0,No,0
42,33107,21791,37,3,Yes,0
20,51403,28431,18,4,Yes,0
42,136005,16148,6,3,No,0
47,81480,15919,30,1,Yes,0
61,66539,14018,27,1,Yes,0
47,123585,2297,25,4,Yes,0
28,146499,11923,19,1,Yes,0
44,22093,5435,28,1,Yes,0
26,115022,38242,10,3,Yes,0
59,46862,5163,17,3,Yes,0
50,56659,34869,19,2,Yes,0
48,58575,46537,34,2,Yes,0
57,37920,17489,28,0,Yes,0
26,126723,39553,22,2,Yes,0
28,54033,38855,37,1,Yes,0
50,80422,30753,39,4,Yes,0
29,78382,30075,30,4,No,1
27,144176,37158,33,3,Yes,0
32,91942,12855,2,2,Yes,0
59,72627,35684,8,2,Yes,0
64,36705,43721,14,0,Yes,1
53,145563,21271,25,4,No,0
22,108779,28445,20,3,Yes,0
20,80184,28549,33,3,Yes,0
54,24355,8636,20,1,Yes,0
57,143852,30493,32,2,Yes,0
18,58046,26120,39,1,No,0
35,78031,24354,14,3,Yes,0
18,141227,45564,2,4,Yes,0
59,134634,46166,35,1,No,1
44,103029,35270,9,0,Yes,0
33,145332,1420,19,2,Yes,0
35,63516,40499,28,0,Yes,0
42,76377,31311,7,3,Yes,0
59,85296,14903,32,4,Yes,0
57,68481,34461,10,2,Yes,0
30,140308,25020,8,0,Yes,0
64,144555,32258,17,3,Yes,0
18,74235,15866,29,1,Yes,0
57,104766,48578,3,2,No,1
38,103038,12140,34,1,Yes,0
47,108747,49603,2,1,Yes,0
39,148676,5074,38,0,Yes,0
39,88783,43452,26,3,Yes,0
18,65167,30810,1,0,Yes,0
22,27867,18545,36,4,No,1
63,76144,24138,24,4,Yes,0
33,129879,39655,0,0,Yes,1
62,32500,24485,10,2,Yes,0
21,105757,10756,6,0,Yes,0
39,22963,2373,10,3,Yes,0
61,41101,36800,30,4,Yes,0
31,56534,23797,4,4,Yes,0
52,103729,29859,14,4,Yes,0
50,56135,32578,38,4,Yes,0
50,128534,4223,3,0,Yes,0
45,59242,33740,18,1,Yes,0
46,84182,37843,12,4,Yes,0
28,93757,1663,3,2,Yes,0
50,138449,7590,12,3,Yes,0
19,68889,39549,32,2,No,1
40,133517,12284,24,2,Yes,0
